protocol,flow_duration,total_forward_packets,total_backward_packets,total_forward_packets_length,total_backward_packets_length,forward_packet_length_mean,backward_packet_length_mean,forward_packets_per_second,backward_packets_per_second,forward_iat_mean,backward_iat_mean,flow_iat_mean,flow_packets_per_seconds,flow_bytes_per_seconds,label
17,2468,4,0,1580,0,395,0,1620.745543,0,822.6666667,0,822.6666667,1620.745543,640194.4895,DrDoS_DNS
17,133,4,0,5888,0,1472,0,30075.18797,0,44.33333333,0,44.33333333,30075.18797,44270676.69,DrDoS_DNS
17,33509,200,0,88000,0,440,0,5968.545764,0,168.3869347,0,168.3869347,5968.545764,2626160.136,DrDoS_DNS
17,288495,200,0,88000,0,440,0,693.252916,0,1449.723618,0,1449.723618,693.252916,305031.283,DrDoS_DNS
17,9,2,0,2062,0,1031,0,222222.2222,0,9,0,9,222222.2222,229111111.1,DrDoS_DNS
17,35262,200,0,88000,0,440,0,5671.82803,0,177.1959799,0,177.1959799,5671.82803,2495604.333,DrDoS_DNS
17,46,2,0,2240,0,1120,0,43478.26087,0,46,0,46,43478.26087,48695652.17,DrDoS_DNS
17,11,2,0,2772,0,1386,0,181818.1818,0,11,0,11,181818.1818,252000000,DrDoS_DNS
17,20599,2,2,86,204,43,102,97.09209185,97.09209185,1,2,6866.333333,194.1841837,14078.35332,DrDoS_DNS
17,49,2,0,1012,0,506,0,40816.32653,0,49,0,49,40816.32653,20653061.22,DrDoS_DNS
17,1990,4,0,5696,0,1424,0,2010.050251,0,663.3333333,0,663.3333333,2010.050251,2862311.558,DrDoS_DNS
17,3,2,0,1332,0,666,0,666666.6667,0,3,0,3,666666.6667,444000000,DrDoS_DNS
17,20826,2,2,86,118,43,59,96.0338039,96.0338039,1,1,6942,192.0676078,9795.447998,DrDoS_DNS
17,269,2,0,1014,0,507,0,7434.944238,0,269,0,269,7434.944238,3769516.729,DrDoS_DNS
17,12,2,0,660,0,330,0,166666.6667,0,12,0,12,166666.6667,55000000,DrDoS_DNS
17,265,4,0,5888,0,1472,0,15094.33962,0,88.33333333,0,88.33333333,15094.33962,22218867.92,DrDoS_DNS
17,246,2,0,714,0,357,0,8130.081301,0,246,0,246,8130.081301,2902439.024,DrDoS_DNS
17,30551,200,0,88000,0,440,0,6546.430559,0,153.5226131,0,153.5226131,6546.430559,2880429.446,DrDoS_DNS
17,1,2,0,198,0,99,0,2000000,0,1,0,1,2000000,198000000,DrDoS_DNS
17,19228,200,0,88000,0,440,0,10401.49782,0,96.62311558,0,96.62311558,10401.49782,4576659.039,DrDoS_DNS
17,31427,200,0,88000,0,440,0,6363.954561,0,157.9246231,0,157.9246231,6363.954561,2800140.007,DrDoS_DNS
17,2,2,0,2376,0,1188,0,1000000,0,2,0,2,1000000,1188000000,DrDoS_DNS
17,25573,200,0,88000,0,440,0,7820.748446,0,128.5075377,0,128.5075377,7820.748446,3441129.316,DrDoS_DNS
17,48,2,0,778,0,389,0,41666.66667,0,48,0,48,41666.66667,16208333.33,DrDoS_DNS
17,13,2,0,374,0,187,0,153846.1538,0,13,0,13,153846.1538,28769230.77,DrDoS_DNS
17,41,2,0,70,0,35,0,48780.4878,0,41,0,41,48780.4878,1707317.073,DrDoS_DNS
17,1680788,4,0,5856,0,1464,0,2.379836124,0,560262.6667,0,560262.6667,2.379836124,3484.080086,DrDoS_DNS
17,21183,194,0,84928,0,437.7731959,0,9158.287306,0,109.7564767,0,109.7564767,9158.287306,4009252.703,DrDoS_DNS
17,142833,200,0,88000,0,440,0,1400.23664,0,717.7537688,0,717.7537688,1400.23664,616104.1216,DrDoS_DNS
17,1083,6,0,8832,0,1472,0,5540.166205,0,216.6,0,216.6,5540.166205,8155124.654,DrDoS_DNS
17,2059,8,0,11776,0,1472,0,3885.381253,0,294.1428571,0,294.1428571,3885.381253,5719281.204,DrDoS_DNS
17,7,2,0,850,0,425,0,285714.2857,0,7,0,7,285714.2857,121428571.4,DrDoS_DNS
17,18805,200,0,88000,0,440,0,10635.46929,0,94.49748744,0,94.49748744,10635.46929,4679606.488,DrDoS_DNS
17,80314,200,0,88000,0,440,0,2490.225863,0,403.5879397,0,403.5879397,2490.225863,1095699.38,DrDoS_DNS
17,43,2,0,2038,0,1019,0,46511.62791,0,43,0,43,46511.62791,47395348.84,DrDoS_DNS
17,17,2,0,1382,0,691,0,117647.0588,0,17,0,17,117647.0588,81294117.65,DrDoS_DNS
17,229,2,0,1796,0,898,0,8733.624454,0,229,0,229,8733.624454,7842794.76,DrDoS_DNS
17,36,2,0,592,0,296,0,55555.55556,0,36,0,36,55555.55556,16444444.44,DrDoS_DNS
17,244,2,0,1012,0,506,0,8196.721311,0,244,0,244,8196.721311,4147540.984,DrDoS_DNS
17,54,2,0,1046,0,523,0,37037.03704,0,54,0,54,37037.03704,19370370.37,DrDoS_DNS
17,241,2,0,2784,0,1392,0,8298.755187,0,241,0,241,8298.755187,11551867.22,DrDoS_DNS
17,46,2,0,862,0,431,0,43478.26087,0,46,0,46,43478.26087,18739130.43,DrDoS_DNS
17,27604,170,0,74800,0,440,0,6158.52775,0,163.3372781,0,163.3372781,6158.52775,2709752.21,DrDoS_DNS
17,3,2,0,902,0,451,0,666666.6667,0,3,0,3,666666.6667,300666666.7,DrDoS_DNS
17,31905,200,0,88000,0,440,0,6268.609936,0,160.3266332,0,160.3266332,6268.609936,2758188.372,DrDoS_DNS
17,16989207,400,0,176000,0,440,0,23.54435966,0,42579.46617,0,42579.46617,23.54435966,10359.51825,DrDoS_DNS
17,41,2,0,618,0,309,0,48780.4878,0,41,0,41,48780.4878,15073170.73,DrDoS_DNS
17,274558,200,0,88000,0,440,0,728.4435347,0,1379.688442,0,1379.688442,728.4435347,320515.1553,DrDoS_DNS
17,260,2,0,2896,0,1448,0,7692.307692,0,260,0,260,7692.307692,11138461.54,DrDoS_DNS
17,36852,200,0,88000,0,440,0,5427.113861,0,185.1859296,0,185.1859296,5427.113861,2387930.099,DrDoS_DNS
17,24052,158,0,69232,0,438.1772152,0,6569.100283,0,153.1974522,0,153.1974522,6569.100283,2878430.068,DrDoS_DNS
17,69430,2,2,66,194,33,97,28.80599165,28.80599165,3,2,23143.33333,57.61198329,3744.778914,DrDoS_DNS
17,19110,200,0,88000,0,440,0,10465.72475,0,96.03015075,0,96.03015075,10465.72475,4604918.891,DrDoS_DNS
17,1183,4,0,740,0,185,0,3381.23415,0,394.3333333,0,394.3333333,3381.23415,625528.3178,DrDoS_DNS
17,25868,4,0,5888,0,1472,0,154.6312046,0,8622.666667,0,8622.666667,154.6312046,227617.1331,DrDoS_DNS
17,6,2,0,2704,0,1352,0,333333.3333,0,6,0,6,333333.3333,450666666.7,DrDoS_DNS
17,269363,200,0,88000,0,440,0,742.492473,0,1353.582915,0,1353.582915,742.492473,326696.6881,DrDoS_DNS
17,47,2,0,2412,0,1206,0,42553.19149,0,47,0,47,42553.19149,51319148.94,DrDoS_DNS
17,46,2,0,666,0,333,0,43478.26087,0,46,0,46,43478.26087,14478260.87,DrDoS_DNS
17,34780,200,0,88000,0,440,0,5750.431282,0,174.7738693,0,174.7738693,5750.431282,2530189.764,DrDoS_DNS
17,49,2,0,1076,0,538,0,40816.32653,0,49,0,49,40816.32653,21959183.67,DrDoS_DNS
17,3,2,0,2318,0,1159,0,666666.6667,0,3,0,3,666666.6667,772666666.7,DrDoS_DNS
17,49,2,0,2016,0,1008,0,40816.32653,0,49,0,49,40816.32653,41142857.14,DrDoS_DNS
17,1745,4,0,5856,0,1464,0,2292.26361,0,581.6666667,0,581.6666667,2292.26361,3355873.926,DrDoS_DNS
